,2012-06-01,2013-09-01,2014-09-01,2015-09-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,37,37,37,37,37,41,44,44,44,44,44,44
Reserves,702,931,1059,1044,774,129,-775,-1067,-1369,-2002,-2255,-2569
Preference Capital,0,0,0,1,0,41,42,42,43,9,10,12
Borrowings,670,2134,2563,2861,2767,1141,1290,1289,1634,1634,1634,1634
Other Liabilities,370,453,553,873,1029,2891,3096,3109,2753,2714,2710,2712
Total Liabilities,1778,3554,4212,4814,4607,4202,3654,3375,3062,2390,2132,1821
Fixed Assets,968,1992,2773,2679,2578,2748,2512,2258,2005,1749,1499,1255
CWIP,45,707,147,115,145,95,138,138,138,138,139,141
Investments,1,1,1,347,347,347,347,347,347,0,0,0
Other Assets,764,854,1291,1673,1536,1011,657,632,571,503,494,425
Total Assets,1778,3554,4212,4814,4607,4202,3654,3375,3062,2390,2132,1821
