,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0.3,9.91,9.91,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77
Reserves,5.68,7.11,8.46,9.68,10.52,11.7,12.65,14.25,15.59,17.84,18.95,
Borrowings,2.98,5.78,1.85,0.3,0.43,0.42,0.38,13.75,19.81,22.55,22.55,
Other Liabilities,0.04,0.06,0.94,1.0,0.95,1.26,0.9,1.13,1.52,1.1,0.93,
Total Liabilities,9.0,22.86,21.16,35.75,36.67,38.15,38.7,53.9,61.69,66.26,67.2,
Fixed Assets,5.49,11.4,12.14,16.83,16.32,14.79,13.61,12.67,11.8,11.2,10.69,
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Investments,0.0,0.0,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,
Other Assets,3.51,11.46,8.92,18.62,20.05,23.06,24.79,40.93,49.59,54.96,56.41,
Total Assets,9.0,22.86,21.16,35.75,36.67,38.15,38.7,53.9,61.69,66.26,67.2,
