,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,3.88,2.65,2.8,3.18,3.39,3.39,2.39,3.4,2.53,2.96,2.16,0.47
Expenses,2.00,0.45,0.97,0.71,0.52,0.72,0.4,1.04,0.69,0.26,0.74,0.87
Operating Profit,1.88,2.2,1.83,2.47,2.87,2.67,1.99,2.36,1.84,2.7,1.42,-0.4
OPM %,48.45,83.02,65.36,77.67,84.66,78.76,83.26,69.41,72.73,91.22,65.74,-85.11
Other Income,0.00,0.1,0.12,0.12,0.43,0.43,0.2,0.24,0.29,0.19,0.28,1.0
Interest,0.00,0.0,0.0,0.03,0.06,0.04,0.01,0.0,0.0,0.0,0.0,0.0
Depreciation,0.01,0.52,0.56,1.29,2.27,2.27,1.18,0.94,0.74,0.6,0.51,0.43
Profit before tax,1.87,1.78,1.39,1.27,0.97,0.79,1.0,1.66,1.39,2.29,1.19,0.17
Tax %,0.00,1.69,2.88,3.15,13.4,8.86,5.0,3.61,3.6,2.18,6.72,23.53
Net Profit,1.87,1.75,1.35,1.22,0.84,0.72,0.95,1.6,1.34,2.24,1.12,0.12
EPS in Rs,,0.07,0.05,0.05,0.03,0.03,0.04,0.06,0.05,0.09,0.05,0.0
