,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1645.0,2061.0,2258.0,1936.0,1872.0,2300.0,2453.0
Expenses,1336.0,1641.0,1735.0,1563.0,1491.0,1761.0,1818.0
Operating Profit,309.0,420.0,522.0,374.0,381.0,539.0,635.0
OPM %,19.0,20.0,23.0,19.0,20.0,23.0,26.0
Other Income,8.0,19.0,69.0,32.0,42.0,57.0,58.0
Interest,11.0,9.0,8.0,9.0,1.0,2.0,4.0
Depreciation,36.0,65.0,66.0,71.0,67.0,69.0,77.0
Profit before tax,270.0,365.0,517.0,326.0,355.0,526.0,612.0
Tax %,20.0,18.0,19.0,24.0,21.0,22.0,23.0
Net Profit,217.0,298.0,420.0,249.0,281.0,409.0,473.0
EPS in Rs,5.43,7.44,10.49,6.21,7.01,10.22,11.8
