,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,743.0,714.0,731.0,802.0,819.0,826.0,946.0,1093.0,1294.0,1208.0,1497.0,1822.0,2169
Expenses,668.0,621.0,629.0,701.0,713.0,720.0,838.0,965.0,1142.0,1039.0,1287.0,1575.0,1880
Operating Profit,75.0,93.0,102.0,101.0,106.0,106.0,108.0,128.0,152.0,169.0,210.0,247.0,290
OPM %,10.0,13.0,14.0,13.0,13.0,13.0,11.0,12.0,12.0,14.0,14.0,14.0,13
Other Income,10.0,14.0,12.0,23.0,24.0,29.0,35.0,24.0,40.0,33.0,40.0,50.0,43
Interest,3.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,6.0,6
Depreciation,22.0,24.0,27.0,28.0,28.0,29.0,31.0,40.0,46.0,42.0,44.0,45.0,48
Profit before tax,60.0,79.0,86.0,94.0,100.0,103.0,108.0,109.0,140.0,157.0,201.0,245.0,279
Tax %,34.0,30.0,33.0,34.0,36.0,33.0,34.0,34.0,28.0,40.0,26.0,25.0,
Net Profit,49.0,64.0,67.0,68.0,69.0,69.0,71.0,72.0,101.0,94.0,149.0,183.0,210
EPS in Rs,14.06,18.27,19.18,19.66,19.75,19.69,20.37,20.57,28.94,26.94,42.92,52.5,60.24
