,Mar 2006,Mar 2007,Mar 2008,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,129,122,80,531.0,475.0,556.0,667.0,625.0,296.0,315.0,513.0,496
Expenses,125,119,82,455.0,416.0,483.0,585.0,554.0,304.0,332.0,477.0,455
Operating Profit,4,3,-1,76.0,60.0,73.0,81.0,71.0,-8.0,-16.0,36.0,41
OPM %,3,2,-2,14.0,13.0,13.0,12.0,11.0,-3.0,-5.0,7.0,8
Other Income,12,17,16,1.0,2.0,3.0,7.0,3.0,2.0,1.0,2.0,1
Interest,3,6,9,1.0,1.0,0.0,1.0,1.0,1.0,8.0,16.0,16
Depreciation,2,3,3,5.0,5.0,5.0,6.0,6.0,7.0,10.0,16.0,18
Profit before tax,11,11,3,72.0,56.0,69.0,82.0,67.0,-13.0,-33.0,6.0,7
Tax %,36,37,53,34.0,34.0,33.0,35.0,22.0,22.0,23.0,46.0,
Net Profit,7,7,1,47.0,37.0,48.0,55.0,54.0,-8.0,-25.0,3.0,5
EPS in Rs,,,,21.6,16.73,21.82,25.09,24.43,-3.73,-11.37,1.68,2.63
