,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,282.0,207.0,264.0,331.0,362.0,395.0,446.0,413.0,265.0,96.0,66.0,28.0,13
Expenses,249.0,187.0,239.0,300.0,327.0,359.0,404.0,376.0,250.0,112.0,208.0,74.0,60
Operating Profit,33.0,21.0,26.0,31.0,35.0,36.0,42.0,38.0,15.0,-17.0,-142.0,-46.0,-47
OPM %,12.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,6.0,-17.0,-217.0,-163.0,-375
Other Income,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,-39.0,-33.0,0.0,0
Interest,19.0,14.0,20.0,21.0,24.0,25.0,28.0,29.0,31.0,39.0,8.0,0.0,0
Depreciation,4.0,3.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0,6.0,6
Profit before tax,10.0,4.0,2.0,4.0,5.0,5.0,8.0,3.0,-21.0,-102.0,-190.0,-52.0,-54
Tax %,31.0,31.0,49.0,30.0,33.0,33.0,28.0,29.0,34.0,29.0,-17.0,0.0,
Net Profit,7.0,3.0,1.0,3.0,4.0,4.0,6.0,2.0,-14.0,-72.0,-223.0,-52.0,-54
EPS in Rs,8.48,3.1,0.71,3.2,3.95,4.18,6.97,2.37,-16.49,-83.66,-258.37,-60.17,-62.38
