,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1393.0,1516.0,1957.0,2864.0,3072.0,2995.0,4556.0,5247
Expenses,521.0,857.0,1022.0,1273.0,2209.0,2170.0,1492.0,1921
Operating Profit,872.0,659.0,935.0,1591.0,863.0,825.0,3064.0,3326
OPM %,63.0,43.0,48.0,56.0,28.0,28.0,67.0,63
Other Income,5.0,28.0,57.0,105.0,109.0,97.0,122.0,290
Interest,543.0,602.0,727.0,1115.0,1121.0,1071.0,1493.0,1915
Depreciation,13.0,41.0,61.0,166.0,170.0,155.0,163.0,166
Profit before tax,322.0,45.0,204.0,416.0,-319.0,-304.0,1531.0,1535
Tax %,35.0,42.0,26.0,28.0,25.0,24.0,26.0,
Net Profit,208.0,26.0,150.0,299.0,-239.0,-230.0,1140.0,1137
EPS in Rs,17.4,2.15,12.42,23.21,-16.34,-15.75,73.2,68.48
