,Dec 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,595.0,1230.0,1092.0,1163.0,1124.0,1172.0,1264.0,1427.0,1270.0,887.0,1380.0,2098.0,2121
Expenses,528.0,1115.0,1030.0,1068.0,992.0,1002.0,1038.0,1047.0,965.0,826.0,1156.0,1359.0,1369
Operating Profit,67.0,116.0,61.0,95.0,131.0,170.0,226.0,380.0,304.0,61.0,224.0,738.0,752
OPM %,11.0,9.0,6.0,8.0,12.0,15.0,18.0,27.0,24.0,7.0,16.0,35.0,35
Other Income,6.0,7.0,13.0,12.0,39.0,-22.0,-7.0,7.0,13.0,11.0,42.0,33.0,58
Interest,36.0,55.0,43.0,45.0,40.0,34.0,26.0,9.0,5.0,5.0,5.0,7.0,8
Depreciation,51.0,88.0,87.0,69.0,73.0,70.0,66.0,68.0,76.0,73.0,72.0,63.0,64
Profit before tax,-13.0,-21.0,-56.0,-6.0,56.0,44.0,126.0,311.0,236.0,-6.0,188.0,701.0,738
Tax %,-643.0,-14.0,26.0,104.0,35.0,27.0,34.0,36.0,10.0,26.0,26.0,25.0,
Net Profit,-98.0,-24.0,-42.0,0.0,37.0,32.0,83.0,200.0,213.0,-5.0,140.0,522.0,543
EPS in Rs,-24.59,-5.96,-10.46,0.06,9.28,8.15,20.89,50.31,53.54,-1.16,35.13,131.37,136.52
