,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,41.0,110.0,123.0,155.0,171.0,186.0,198.0,215.0,234.0,252
Expenses,38.0,99.0,105.0,131.0,147.0,157.0,159.0,167.0,191.0,211
Operating Profit,3.0,10.0,18.0,24.0,24.0,29.0,38.0,47.0,43.0,41
OPM %,7.0,9.0,15.0,16.0,14.0,16.0,19.0,22.0,19.0,16
Other Income,0.0,1.0,1.0,3.0,8.0,3.0,1.0,4.0,5.0,3
Interest,0.0,5.0,6.0,4.0,3.0,2.0,2.0,3.0,5.0,6
Depreciation,0.0,2.0,2.0,2.0,3.0,4.0,9.0,11.0,12.0,12
Profit before tax,3.0,5.0,11.0,20.0,26.0,27.0,29.0,37.0,32.0,27
Tax %,33.0,33.0,25.0,25.0,20.0,17.0,15.0,7.0,6.0,
Net Profit,2.0,3.0,8.0,15.0,21.0,22.0,25.0,34.0,30.0,23
EPS in Rs,2.1,3.66,9.84,14.39,9.88,10.17,12.77,17.68,14.66,9.56
