,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2761.0,3102.0,3312.0,3750.0,4911.0,5186.0,5918.0,6964.0,6267.0,8306.0,9374.0,9500
Expenses,2567.0,2863.0,3043.0,3579.0,4471.0,4741.0,5462.0,6475.0,5703.0,7637.0,8851.0,8894
Operating Profit,194.0,240.0,269.0,171.0,440.0,445.0,456.0,489.0,564.0,669.0,523.0,605
OPM %,7.0,8.0,8.0,5.0,9.0,9.0,8.0,7.0,9.0,8.0,6.0,6
Other Income,11.0,36.0,104.0,315.0,95.0,58.0,154.0,49.0,90.0,109.0,139.0,158
Interest,49.0,40.0,65.0,98.0,86.0,45.0,34.0,42.0,46.0,63.0,99.0,109
Depreciation,19.0,28.0,37.0,52.0,75.0,86.0,98.0,148.0,154.0,173.0,185.0,200
Profit before tax,137.0,207.0,271.0,336.0,375.0,372.0,477.0,349.0,453.0,542.0,378.0,454
Tax %,29.0,24.0,22.0,22.0,27.0,32.0,27.0,14.0,23.0,23.0,22.0,
Net Profit,97.0,157.0,210.0,261.0,273.0,251.0,349.0,301.0,348.0,419.0,295.0,349
EPS in Rs,73.04,118.36,22.69,28.19,13.44,11.94,17.13,15.94,16.33,20.96,15.71,18.63
