,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1688.0,1718.0,1412.0,1767.0,2755.0,2586.0,2298.0,3139.0,4474.0,4904
Expenses,1388.0,1431.0,1155.0,1501.0,2348.0,2159.0,1898.0,2644.0,3699.0,3953
Operating Profit,300.0,287.0,257.0,266.0,407.0,427.0,400.0,495.0,776.0,951
OPM %,18.0,17.0,18.0,15.0,15.0,16.0,17.0,16.0,17.0,19
Other Income,26.0,16.0,14.0,32.0,41.0,59.0,43.0,38.0,32.0,33
Interest,9.0,6.0,6.0,10.0,15.0,21.0,23.0,21.0,31.0,42
Depreciation,54.0,57.0,60.0,61.0,62.0,59.0,57.0,80.0,83.0,94
Profit before tax,262.0,240.0,205.0,228.0,371.0,406.0,363.0,431.0,694.0,848
Tax %,34.0,31.0,30.0,33.0,32.0,24.0,24.0,25.0,26.0,
Net Profit,173.0,165.0,144.0,152.0,253.0,308.0,276.0,323.0,512.0,626
EPS in Rs,24.74,23.58,20.55,21.65,36.08,43.87,39.37,46.03,72.83,88.83
