,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,286.0,392.0,578.0,816.0,1083.0,1353.0,1518.0,1727.0,2030.0,2018.0,1988.0,2742.0,3168
Interest,196.0,283.0,423.0,611.0,744.0,884.0,981.0,1170.0,1345.0,1209.0,1155.0,1702.0,2025
Expenses,33.0,33.0,46.0,65.0,83.0,95.0,107.0,89.0,158.0,182.0,189.0,205.0,297
Financing Profit,57.0,76.0,109.0,140.0,257.0,373.0,430.0,468.0,528.0,627.0,644.0,835.0,846
Financing Margin %,20.0,19.0,19.0,17.0,24.0,28.0,28.0,27.0,26.0,31.0,32.0,30.0,27
Other Income,4.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,1
Depreciation,1.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,9.0,10.0,10.0,12.0,12
Profit before tax,61.0,75.0,107.0,137.0,254.0,370.0,431.0,470.0,518.0,618.0,635.0,824.0,834
Tax %,28.0,28.0,29.0,37.0,38.0,36.0,34.0,37.0,27.0,26.0,26.0,25.0,
Net Profit,44.0,54.0,76.0,86.0,157.0,235.0,286.0,297.0,376.0,456.0,471.0,621.0,659
EPS in Rs,3.29,4.07,5.69,6.48,11.8,17.68,21.49,22.29,28.25,34.25,35.38,46.65,49.48
