,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,710.0,772.0,845.0,888.0,994.0,1013.0,1074.0,1089.0,1341.0,1331.0,1525.0,1781.0,1867
Expenses,545.0,591.0,638.0,690.0,765.0,769.0,841.0,860.0,1038.0,997.0,1271.0,1530.0,1570
Operating Profit,165.0,181.0,207.0,199.0,229.0,243.0,233.0,229.0,304.0,334.0,254.0,251.0,297
OPM %,23.0,23.0,24.0,22.0,23.0,24.0,22.0,21.0,23.0,25.0,17.0,14.0,16
Other Income,27.0,46.0,39.0,46.0,39.0,44.0,45.0,42.0,57.0,95.0,76.0,50.0,82
Interest,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4
Depreciation,18.0,28.0,25.0,39.0,34.0,35.0,35.0,33.0,37.0,38.0,37.0,39.0,39
Profit before tax,172.0,198.0,218.0,204.0,232.0,252.0,241.0,237.0,320.0,388.0,289.0,258.0,335
Tax %,22.0,22.0,38.0,27.0,27.0,25.0,28.0,28.0,25.0,22.0,25.0,25.0,
Net Profit,134.0,155.0,135.0,148.0,169.0,189.0,174.0,170.0,240.0,301.0,216.0,194.0,251
EPS in Rs,7.33,8.49,7.61,8.33,9.48,10.6,9.95,9.74,14.03,17.85,12.82,11.7,15.14
