,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.43,0.46,0.48,0.62,1.6,2.06,57.52,67.79,64.87,85.67,86.45,72.29,76.96
Expenses,0.33,0.32,0.33,0.44,1.31,1.74,57.11,67.18,64.45,85.23,85.77,72.15,77.55
Operating Profit,0.1,0.14,0.15,0.18,0.29,0.32,0.41,0.61,0.42,0.44,0.68,0.14,-0.59
OPM %,23.26,30.43,31.25,29.03,18.12,15.53,0.71,0.9,0.65,0.51,0.79,0.19,-0.77
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Interest,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.12,0.09,0.08,0.08,0.08,0.08
Profit before tax,0.03,0.06,0.07,0.08,0.18,0.22,0.3,0.49,0.33,0.36,0.6,0.06,0.08
Tax %,33.33,16.67,14.29,37.5,22.22,27.27,23.33,20.41,9.09,27.78,25.0,50.0,
Net Profit,0.02,0.05,0.06,0.06,0.14,0.15,0.23,0.4,0.3,0.26,0.45,0.03,0.03
EPS in Rs,0.07,0.16,0.2,0.2,0.46,0.49,0.75,1.31,0.98,0.48,0.83,0.06,0.05
