,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.45,0.24,4.76,28.52,9.2,16.38,4.64,9.01,4.09,1.91,1.58,1.63
Expenses,4.71,4.9,9.66,24.76,23.48,23.33,13.61,12.61,8.43,5.32,5.8,6.50
Operating Profit,-3.26,-4.66,-4.9,3.76,-14.28,-6.95,-8.97,-3.6,-4.34,-3.41,-4.22,-4.87
OPM %,-224.83,-1941.67,-102.94,13.18,-155.22,-42.43,-193.32,-39.96,-106.11,-178.53,-267.09,-298.77
Other Income,8.58,7.24,7.04,-1.47,6.07,-0.67,11.19,5.02,5.17,6.11,6.09,10.77
Interest,0.12,0.12,0.6,0.0,0.3,0.11,0.57,0.36,0.21,0.1,0.03,0.00
Depreciation,0.14,0.17,0.28,0.24,0.12,0.14,0.17,0.18,0.12,0.16,0.15,0.14
Profit before tax,5.06,2.29,1.26,2.05,-8.63,-7.87,1.48,0.88,0.5,2.44,1.69,5.76
Tax %,35.77,20.96,41.27,178.05,29.55,21.22,20.95,61.36,-12.0,27.46,25.44,
Net Profit,3.12,0.92,-2.81,-2.15,-6.09,-6.2,1.16,0.34,0.55,1.77,1.27,4.54
EPS in Rs,10.4,3.07,-9.37,-7.17,-20.3,-20.67,3.87,1.13,1.83,5.9,4.23,15.14
