,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11859.0,15708.0,21260.0,22871.0,29636.0,33197.0,21951.0,19454.0,26565.0,42292.0,44723
Expenses,11437.0,14191.0,18281.0,19826.0,25387.0,28287.0,18718.0,16992.0,23800.0,37199.0,38041
Operating Profit,422.0,1517.0,2979.0,3045.0,4248.0,4910.0,3233.0,2462.0,2765.0,5093.0,6681
OPM %,4.0,10.0,14.0,13.0,14.0,15.0,15.0,13.0,10.0,12.0,15
Other Income,613.0,-106.0,-321.0,406.0,190.0,139.0,57.0,207.0,-230.0,169.0,184
Interest,805.0,872.0,925.0,1049.0,1227.0,1502.0,1802.0,1901.0,1869.0,2094.0,2498
Depreciation,530.0,580.0,524.0,573.0,646.0,676.0,750.0,836.0,866.0,900.0,933
Profit before tax,-300.0,-42.0,1209.0,1829.0,2565.0,2872.0,739.0,-67.0,-200.0,2269.0,3435
Tax %,23.0,-415.0,41.0,11.0,29.0,24.0,38.0,-4.0,-43.0,40.0,
Net Profit,-222.0,-205.0,712.0,1633.0,1814.0,2195.0,460.0,-70.0,-285.0,1362.0,2308
EPS in Rs,-0.62,0.47,2.4,5.58,6.01,7.08,1.15,-0.56,-1.22,4.23,7.29
