,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.0,9.0,18.0,40.0,55.0,119.0,173.0,186.0,147.0,112.0,105.0,86.0,76
Expenses,4.0,4.0,8.0,11.0,18.0,38.0,99.0,61.0,77.0,104.0,87.0,126.0,129
Operating Profit,2.0,5.0,10.0,29.0,38.0,81.0,74.0,126.0,70.0,8.0,18.0,-40.0,-53
OPM %,31.0,53.0,54.0,72.0,68.0,68.0,43.0,68.0,47.0,7.0,17.0,-46.0,-70
Other Income,0.0,0.0,0.0,0.0,6.0,0.0,0.0,-37.0,1.0,1.0,1.0,1.0,1
Interest,2.0,3.0,7.0,14.0,12.0,26.0,62.0,77.0,61.0,39.0,32.0,22.0,13
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
Profit before tax,0.0,2.0,3.0,15.0,31.0,55.0,12.0,12.0,9.0,-30.0,-14.0,-61.0,-65
Tax %,18.0,0.0,38.0,34.0,35.0,33.0,48.0,24.0,94.0,22.0,24.0,26.0,
Net Profit,0.0,2.0,2.0,10.0,20.0,37.0,6.0,9.0,1.0,-24.0,-11.0,-46.0,-49
EPS in Rs,0.24,2.05,2.43,12.87,13.81,22.55,3.81,5.54,0.32,-14.53,-6.61,-27.89,-29.70
