,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3015.0,2840.0,3497.0,4484.0,4006.0,6985.0,9895.0,1032.0,506.0,508.0,705.0,1334.0,1703
Expenses,3012.0,2801.0,3439.0,4368.0,3931.0,6853.0,9768.0,453.0,317.0,288.0,547.0,870.0,1061
Operating Profit,3.0,40.0,58.0,117.0,75.0,132.0,127.0,579.0,189.0,221.0,158.0,465.0,643
OPM %,0.0,1.0,2.0,3.0,2.0,2.0,1.0,56.0,37.0,43.0,22.0,35.0,38
Other Income,2.0,5.0,4.0,1.0,7.0,10.0,57.0,-161.0,42.0,5.0,9.0,31.0,35
Interest,24.0,29.0,25.0,33.0,28.0,60.0,96.0,155.0,199.0,238.0,330.0,636.0,783
Depreciation,7.0,6.0,5.0,7.0,5.0,7.0,8.0,20.0,20.0,19.0,21.0,38.0,48
Profit before tax,-26.0,10.0,31.0,77.0,49.0,76.0,80.0,244.0,13.0,-32.0,-184.0,-179.0,-154
Tax %,-18.0,-44.0,20.0,31.0,37.0,40.0,48.0,41.0,94.0,-31.0,-3.0,-2.0,
Net Profit,-31.0,15.0,25.0,53.0,31.0,46.0,42.0,142.0,1.0,-42.0,-190.0,-183.0,-152
EPS in Rs,-0.74,0.34,0.6,1.1,0.63,0.72,0.77,2.79,0.35,-1.13,-4.25,-3.6,-3.21
