,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.0,2.0,10.0,16.0,21.0,29.0,64.0,80.0,109.0,192.0,205.0,214.0,193
Expenses,2.0,2.0,10.0,16.0,21.0,28.0,62.0,77.0,105.0,188.0,197.0,204.0,178
Operating Profit,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,8.0,11.0,15
OPM %,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,8
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2
Profit before tax,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,6.0,9.0,12
Tax %,0.0,0.0,33.0,33.0,30.0,35.0,33.0,27.0,34.0,28.0,39.0,26.0,
Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,7.0,12
EPS in Rs,0.05,0.1,0.1,0.2,0.35,1.65,4.25,0.09,0.06,0.09,0.16,0.32,0.55
