,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,0.06,0.06,0.15,0.31,0.36,0.63,0.78,1.05,1.92,3.14,3.6,2.41
Expenses,0.04,0.06,0.06,0.15,0.21,0.26,0.5,0.51,0.62,1.08,1.83,2.8,1.27
Operating Profit,0.00,0.00,0.00,0.00,0.1,0.1,0.13,0.27,0.43,0.84,1.31,0.8,1.14
OPM %,0.00,0.00,0.00,0.00,32.26,27.78,20.63,34.62,40.95,43.75,41.72,22.22,47.30
Other Income,0.00,0.00,0.00,0.00,0.0,0.01,0.02,0.13,0.14,0.18,0.03,0.73,0.48
Interest,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.00
Depreciation,0.00,0.00,0.00,0.00,0.06,0.07,0.09,0.3,0.33,0.25,0.22,0.21,0.21
Profit before tax,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.09,0.23,0.76,1.12,1.31,1.41
Tax %,,,,,0.0,0.0,40.0,22.22,13.04,10.53,5.36,10.69,
Net Profit,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.06,0.2,0.68,1.05,1.17,1.13
EPS in Rs,,,,,0.03,0.02,0.01,0.08,0.25,0.87,1.31,1.48,1.43
