,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,237.0,218.0,190.0,204.0,264.0,302.0,361.0,375.0,346.0,392.0,471.0,521
Interest,65.0,62.0,58.0,67.0,94.0,118.0,149.0,157.0,162.0,184.0,209.0,232
Expenses,64.0,68.0,60.0,61.0,85.0,93.0,122.0,140.0,103.0,97.0,129.0,101
Financing Profit,107.0,89.0,72.0,76.0,85.0,92.0,90.0,78.0,81.0,110.0,134.0,188
Financing Margin %,45.0,41.0,38.0,37.0,32.0,30.0,25.0,21.0,23.0,28.0,28.0,36
Other Income,-0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-4.0,-5
Depreciation,3.0,4.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,3
Profit before tax,105.0,84.0,67.0,70.0,79.0,86.0,85.0,74.0,78.0,107.0,126.0,180
Tax %,32.0,33.0,34.0,35.0,34.0,33.0,34.0,27.0,25.0,26.0,26.0,
Net Profit,71.0,56.0,44.0,45.0,52.0,58.0,56.0,54.0,58.0,79.0,94.0,134
EPS in Rs,1.74,1.38,1.09,1.12,1.28,1.42,1.39,1.28,1.37,1.8,2.08,3.00
