,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10770.0,9247.0,7848.0,6220.0,3656.0,3225.0,3565.0,3875.0,1815.0,353.0,69.0,31.0,33
Expenses,10658.0,9280.0,7991.0,6317.0,3846.0,3434.0,4304.0,4011.0,2033.0,601.0,170.0,103.0,98
Operating Profit,111.0,-33.0,-142.0,-97.0,-190.0,-208.0,-739.0,-137.0,-218.0,-248.0,-100.0,-71.0,-65
OPM %,1.0,-0.0,-2.0,-2.0,-5.0,-6.0,-21.0,-4.0,-12.0,-70.0,-144.0,-227.0,-200
Other Income,127.0,118.0,186.0,130.0,138.0,135.0,99.0,140.0,243.0,113.0,143.0,37.0,47
Interest,108.0,158.0,177.0,155.0,135.0,152.0,141.0,123.0,90.0,56.0,16.0,4.0,0
Depreciation,46.0,52.0,52.0,52.0,32.0,31.0,27.0,12.0,9.0,4.0,1.0,1.0,1
Profit before tax,84.0,-126.0,-186.0,-174.0,-219.0,-257.0,-809.0,-132.0,-74.0,-195.0,26.0,-39.0,-20
Tax %,17.0,36.0,-15.0,-6.0,2.0,4.0,-1.0,-2.0,-84.0,-1.0,5.0,-0.0,
Net Profit,70.0,-80.0,-215.0,-185.0,-214.0,-248.0,-814.0,-135.0,-136.0,-197.0,25.0,-39.0,-20
EPS in Rs,2.19,-2.43,-6.52,-5.61,-6.51,-7.53,-24.72,-4.11,-4.14,-5.98,0.74,-1.18,-0.60
