,Dec 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales,1578.0,2343.0,1779.0,6845.0,17075.0,18478.0,20165.0,20118.0,6261.0,8541
Expenses,2065.0,2931.0,2148.0,6762.0,16494.0,17644.0,19119.0,18041.0,6814.0,9931
Operating Profit,-487.0,-588.0,-368.0,83.0,581.0,834.0,1045.0,2077.0,-553.0,-1390
OPM %,-31.0,-25.0,-21.0,1.0,3.0,5.0,5.0,10.0,-9.0,-16
Other Income,4.0,405.0,54.0,18.0,24.0,-594.0,12.0,-9.0,164.0,19
Interest,18.0,71.0,20.0,50.0,204.0,175.0,224.0,993.0,1442.0,1469
Depreciation,37.0,61.0,44.0,37.0,33.0,53.0,101.0,1041.0,1328.0,1585
Profit before tax,-538.0,-315.0,-379.0,15.0,368.0,11.0,733.0,34.0,-3160.0,-4425
Tax %,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,
Net Profit,-538.0,-315.0,-379.0,15.0,368.0,11.0,733.0,34.0,-3180.0,-4445
EPS in Rs,-10.1,-2.25,-2.71,0.09,7.81,0.23,14.58,0.64,-58.64,-81.98
