,2012-12-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2021-09-01
Equity Capital,533,1399,1399,9,94,100,101,105,108,108
Reserves,-1522,-1441,-1687,1865,2459,2996,3751,3427,1091,-1226
Borrowings,627,183,390,1122,1079,1286,2657,8889,11196,13811
Other Liabilities,858,377,356,2589,3305,3812,4019,8857,6491,4915
Total Liabilities,496,517,458,5585,6938,8194,10528,21279,18885,17608
Fixed Assets,184,143,135,261,554,1019,1441,3372,6842,6033
CWIP,39,47,43,0,12,34,190,4096,74,77
Investments,0,0,0,0,0,0,104,114,114,114
Other Assets,273,327,280,5325,6372,7142,8793,13697,11855,11383
Total Assets,496,517,458,5585,6938,8194,10528,21279,18885,17608
