,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1013.0,1324.0,1407.0,1235.0,1202.0,1405.0,1349.0,1257
Expenses,670.0,771.0,723.0,532.0,467.0,473.0,521.0,554
Operating Profit,344.0,552.0,684.0,703.0,735.0,932.0,828.0,703
OPM %,34.0,42.0,49.0,57.0,61.0,66.0,61.0,56
Other Income,1.0,0.0,0.0,0.0,4.0,3.0,5.0,215
Interest,0.0,5.0,6.0,6.0,6.0,5.0,4.0,4
Depreciation,8.0,26.0,32.0,37.0,37.0,36.0,34.0,33
Profit before tax,337.0,522.0,646.0,661.0,696.0,895.0,794.0,881
Tax %,34.0,33.0,31.0,25.0,24.0,25.0,25.0,
Net Profit,223.0,349.0,447.0,494.0,526.0,673.0,596.0,665
EPS in Rs,124.01,193.64,248.22,274.67,292.38,23.36,20.71,23.07
