,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,20,20,20,20,21,21,21,21,21,21,21,21
Reserves,73,86,104,115,142,161,-23,-146,-169,-183,-179,-192
Borrowings,45,78,118,154,176,186,181,233,230,233,228,226
Other Liabilities,35,33,41,53,50,80,129,28,26,26,17,18
Total Liabilities,172,217,283,342,389,447,307,136,107,97,86,72
Fixed Assets,21,36,44,43,68,78,83,76,68,53,28,26
CWIP,18,31,40,69,107,113,0,0,0,0,0,0
Investments,1,2,11,14,14,14,0,11,0,0,1,0
Other Assets,133,148,187,217,199,242,224,49,38,44,58,46
Total Assets,172,217,283,342,389,447,307,136,107,97,86,72
