,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,0.0,2.0,7.0,120.0,147.0,141.0,151.0,251.0,253.0,267
Expenses,0.0,0.0,0.0,2.0,5.0,103.0,129.0,126.0,133.0,226.0,230.0,233
Operating Profit,0.0,0.0,0.0,0.0,1.0,16.0,18.0,15.0,19.0,25.0,23.0,34
OPM %,,,,23.0,19.0,14.0,12.0,10.0,12.0,10.0,9.0,13
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,0
Interest,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,6.0,8.0,7.0,7
Depreciation,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,8.0,9.0,9
Profit before tax,0.0,0.0,0.0,0.0,1.0,8.0,10.0,6.0,8.0,11.0,12.0,18
Tax %,,,,23.0,20.0,27.0,28.0,28.0,28.0,28.0,28.0,
Net Profit,0.0,0.0,0.0,0.0,1.0,6.0,7.0,5.0,6.0,8.0,8.0,13
EPS in Rs,0.0,0.0,0.0,6.01,10.62,52.96,4.85,3.1,3.91,5.06,5.57,8.44
