,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,131.0,2194.0,2876.0,3944.0,7305.0,11416.0,9926.0,11258.0,13293.0,14247
Expenses,0.0,29.0,267.0,893.0,1118.0,4528.0,7158.0,5976.0,7051.0,8775.0,8947
Operating Profit,0.0,101.0,1927.0,1983.0,2826.0,2778.0,4258.0,3950.0,4206.0,4518.0,5300
OPM %,,78.0,88.0,69.0,72.0,38.0,37.0,40.0,37.0,34.0,37
Other Income,0.0,3.0,70.0,22.0,111.0,336.0,261.0,1115.0,1286.0,1583.0,934
Interest,0.0,73.0,957.0,904.0,886.0,1391.0,2238.0,2117.0,2365.0,2781.0,2584
Depreciation,0.0,37.0,560.0,569.0,579.0,882.0,1174.0,1329.0,1427.0,1608.0,1677
Profit before tax,0.0,-5.0,480.0,532.0,1472.0,840.0,1107.0,1620.0,1700.0,1712.0,1973
Tax %,,-34.0,23.0,22.0,22.0,33.0,36.0,20.0,27.0,25.0,
Net Profit,0.0,-7.0,368.0,416.0,1143.0,559.0,706.0,1290.0,1236.0,1281.0,1384
EPS in Rs,0.0,-0.06,3.35,3.79,10.39,5.08,6.74,11.13,10.95,11.26,11.79
