,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,57.0,159.0,271.0,202.0,201.0,167.0,166.0,218.0,222
Expenses,56.0,157.0,263.0,195.0,197.0,163.0,161.0,209.0,213
Operating Profit,1.0,3.0,7.0,7.0,5.0,4.0,5.0,9.0,9
OPM %,2.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4
Other Income,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Interest,0.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3
Depreciation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2
Profit before tax,1.0,3.0,6.0,4.0,1.0,2.0,2.0,5.0,5
Tax %,33.0,31.0,34.0,31.0,28.0,29.0,27.0,25.0,
Net Profit,0.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,4
EPS in Rs,4.0,18.52,37.44,5.67,2.02,2.16,2.1,5.23,5.25
