,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.21,3.02,7.84,8.86,9.83,10.65,10.88,10.34,12.7,12.63,17.12,17.2,15.04
Expenses,6.66,3.12,7.58,8.9,9.15,10.11,11.5,10.98,12.51,12.18,16.81,16.8,14.79
Operating Profit,-1.45,-0.1,0.26,-0.04,0.68,0.54,-0.62,-0.64,0.19,0.45,0.31,0.4,0.25
OPM %,-27.83,-3.31,3.32,-0.45,6.92,5.07,-5.7,-6.19,1.5,3.56,1.81,2.33,1.66
Other Income,1.49,0.66,0.08,0.06,0.05,0.06,0.03,0.03,0.05,0.01,0.03,0.02,0.01
Interest,0.35,0.39,0.49,0.53,0.47,0.46,0.56,0.33,0.19,0.2,0.19,0.21,0.22
Depreciation,0.32,0.32,0.26,0.22,0.22,0.07,0.05,0.03,0.04,0.04,0.05,0.08,0.08
Profit before tax,-0.63,-0.15,-0.41,-0.73,0.04,0.07,-1.2,-0.97,0.01,0.22,0.1,0.13,-0.04
Tax %,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
Net Profit,-0.63,-0.15,-0.41,-0.73,0.03,0.08,-1.2,-0.97,0.01,0.22,0.1,0.14,-0.01
EPS in Rs,-0.64,-0.15,-0.41,-0.74,0.03,0.08,-1.21,-0.98,0.01,0.22,0.1,0.14,-0.01
