,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,807.0,978.0,1111.0,1253.0,1380.0,1548.0,1658.0,1748.0,1732.0,1982.0,2301.0,2769.0,3044
Expenses,545.0,650.0,750.0,865.0,980.0,1104.0,1203.0,1277.0,1276.0,1471.0,1690.0,2039.0,2229
Operating Profit,262.0,328.0,361.0,389.0,400.0,443.0,455.0,471.0,456.0,511.0,611.0,730.0,815
OPM %,33.0,34.0,32.0,31.0,29.0,29.0,27.0,27.0,26.0,26.0,27.0,26.0,27
Other Income,43.0,20.0,103.0,24.0,43.0,50.0,25.0,73.0,73.0,83.0,123.0,122.0,89
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,9.0,6.0,4
Depreciation,30.0,34.0,38.0,36.0,37.0,55.0,47.0,43.0,37.0,121.0,106.0,103.0,105
Profit before tax,275.0,314.0,425.0,376.0,406.0,438.0,434.0,500.0,492.0,458.0,618.0,742.0,796
Tax %,25.0,30.0,30.0,29.0,30.0,33.0,30.0,27.0,30.0,23.0,25.0,24.0,
Net Profit,206.0,220.0,298.0,268.0,285.0,294.0,304.0,363.0,344.0,355.0,466.0,564.0,606
EPS in Rs,29.07,31.38,42.16,37.62,40.04,41.26,42.46,50.35,47.57,48.87,63.92,77.25,82.96
