,Mar 2010,Mar 2011,Mar 2012,Mar 2017,Mar 2018,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.31,2.65,0.13,0.47,0.06,-0.92,0.81,0.59,0.47,0.94
Expenses,0.38,2.17,0.25,0.36,0.14,0.22,0.59,0.57,0.22,0.65
Operating Profit,-0.07,0.48,-0.12,0.11,-0.08,-1.14,0.22,0.02,0.25,0.29
OPM %,-22.58,18.11,-92.31,23.40,-133.33,,27.16,3.39,53.19,30.85
Other Income,0.00,0.00,0.00,0.18,0.11,0.18,0.01,0.00,0.00,0.04
Interest,0.27,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.06,0.06,0.04,0.01,0.00,0.01,0.00,0.02,0.01,0.02
Profit before tax,-0.40,0.12,-0.16,0.28,0.03,-0.97,0.23,0.00,0.24,0.31
Tax %,0.00,0.00,0.00,0.00,66.67,0.00,0.00,,0.00,
Net Profit,-0.40,0.12,-0.16,0.28,0.00,-0.97,0.23,0.00,0.23,0.29
EPS in Rs,,,,,,,,,,
