,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.75,9.08,9.14,9.22,10.55,10.56,11.53,11.21,12.16,6.09,8.66,4.99,3.98
Expenses,8.79,8.88,8.97,9.0,10.49,10.49,11.49,11.04,12.22,5.4,7.76,4.75,3.36
Operating Profit,-0.04,0.2,0.17,0.22,0.06,0.07,0.04,0.17,-0.06,0.69,0.9,0.24,0.62
OPM %,-0.46,2.2,1.86,2.39,0.57,0.66,0.35,1.52,-0.49,11.33,10.39,4.81,15.58
Other Income,0.0,0.0,-0.01,0.0,0.03,0.00,0.17,0.0,0.0,0.0,0.0,0.04,0.08
Interest,0.0,0.03,0.09,0.07,0.05,0.04,0.04,0.03,0.01,0.01,0.09,0.04,0.11
Depreciation,0.04,0.04,0.04,0.05,0.05,0.03,0.03,0.04,0.04,0.04,0.06,0.03,0.01
Profit before tax,-0.08,0.13,0.03,0.1,-0.01,0.00,0.14,0.1,-0.11,0.64,0.75,0.21,0.58
Tax %,0.0,23.08,33.33,30.0,100.0,,21.43,60.0,9.09,35.94,38.67,42.86,
Net Profit,-0.08,0.1,0.02,0.07,0.0,0.00,0.11,0.04,-0.11,0.4,0.45,0.12,0.58
EPS in Rs,-0.11,0.14,0.03,0.1,0.0,0.00,0.15,0.06,-0.15,0.55,0.62,0.17,0.80
