,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8514.0,7757.0,7600.0,8943.0,12429.0,13135.0,11906.0,15857.0,29617.0,27113
Expenses,8130.0,7197.0,7041.0,8404.0,11417.0,12283.0,11001.0,15469.0,28539.0,26608
Operating Profit,385.0,560.0,559.0,539.0,1012.0,852.0,904.0,388.0,1078.0,505
OPM %,5.0,7.0,7.0,6.0,8.0,6.0,8.0,2.0,4.0,2
Other Income,37.0,45.0,45.0,62.0,52.0,-331.0,33.0,26.0,195.0,302
Interest,304.0,231.0,193.0,192.0,320.0,409.0,294.0,137.0,308.0,321
Depreciation,73.0,87.0,85.0,73.0,285.0,374.0,312.0,335.0,353.0,356
Profit before tax,45.0,287.0,325.0,335.0,459.0,-263.0,331.0,-58.0,612.0,130
Tax %,41.0,31.0,36.0,36.0,36.0,31.0,28.0,-63.0,25.0,
Net Profit,26.0,197.0,208.0,213.0,294.0,-181.0,237.0,-95.0,458.0,110
EPS in Rs,0.53,4.02,4.24,4.34,5.99,-3.69,4.83,-1.94,9.34,2.22
