,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,173.0,344.0,446.0,559.0,757.0,894.0,1017.0,1171.0,1394.0,1171.0,1397.0,1653.0
Expenses,154.0,316.0,425.0,525.0,700.0,851.0,930.0,1087.0,1300.0,1108.0,1338.0,1590.0
Operating Profit,18.0,28.0,20.0,34.0,57.0,43.0,87.0,83.0,94.0,63.0,58.0,63.0
OPM %,11.0,8.0,5.0,6.0,8.0,5.0,9.0,7.0,7.0,5.0,4.0,4.0
Other Income,1.0,1.0,1.0,1.0,-5.0,2.0,7.0,11.0,9.0,9.0,-0.0,8.0
Interest,1.0,4.0,5.0,6.0,6.0,5.0,3.0,1.0,7.0,6.0,7.0,7.0
Depreciation,3.0,7.0,12.0,15.0,18.0,25.0,30.0,38.0,62.0,55.0,54.0,62.0
Profit before tax,15.0,18.0,5.0,13.0,28.0,15.0,62.0,56.0,34.0,11.0,-2.0,2.0
Tax %,17.0,17.0,-8.0,24.0,1.0,-38.0,28.0,20.0,-39.0,-28.0,222.0,-1245.0
Net Profit,13.0,15.0,5.0,10.0,27.0,21.0,44.0,45.0,47.0,14.0,3.0,20.0
EPS in Rs,409.74,482.79,174.68,316.5,875.0,10.8,18.84,19.03,20.01,6.04,1.24,8.66
