,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,7,7,7,8,8,8,8,8,8,8
Reserves,8,12,29,64,78,133,230,249,257,271,272,270,257
Borrowings,14,14,9,24,31,32,0,12,13,15,50,25,37
Other Liabilities,12,13,27,51,39,47,61,47,45,62,76,62,63
Total Liabilities,40,44,70,146,155,219,299,316,323,356,406,365,366
Fixed Assets,17,16,21,55,56,65,86,126,128,229,231,225,234
CWIP,0,0,0,2,4,9,26,31,62,6,16,17,12
Investments,0,0,8,18,22,51,77,21,1,0,0,0,0
Other Assets,23,28,41,71,72,94,110,138,131,120,159,122,120
Total Assets,40,44,70,146,155,219,299,316,323,356,406,365,366
