,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2435.0,2228.0,2275.0,2414.0,2997.0,2631.0,2750.0,3035.0,2842.0,2671.0,3666.0,4305.0,4447
Expenses,2136.0,1969.0,2014.0,2132.0,2636.0,2295.0,2316.0,2549.0,2492.0,2251.0,3110.0,3556.0,3771
Operating Profit,298.0,258.0,261.0,281.0,362.0,336.0,435.0,486.0,349.0,420.0,556.0,749.0,675
OPM %,12.0,12.0,11.0,12.0,12.0,13.0,16.0,16.0,12.0,16.0,15.0,17.0,15
Other Income,54.0,68.0,41.0,79.0,101.0,87.0,71.0,92.0,104.0,36.0,35.0,52.0,76
Interest,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,9.0,2.0,2.0,2.0,1
Depreciation,39.0,44.0,49.0,54.0,68.0,48.0,46.0,46.0,57.0,58.0,57.0,67.0,71
Profit before tax,314.0,283.0,253.0,306.0,394.0,376.0,455.0,524.0,387.0,396.0,531.0,733.0,679
Tax %,34.0,33.0,34.0,34.0,35.0,35.0,35.0,36.0,25.0,25.0,26.0,28.0,
Net Profit,208.0,190.0,167.0,203.0,256.0,244.0,296.0,336.0,289.0,298.0,395.0,525.0,484
EPS in Rs,39.54,36.05,31.62,38.45,48.53,46.25,57.64,67.92,58.46,60.22,79.92,106.15,97.92
