,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,41.0,50.0,122.0,141.0,78.0,124.0,222.0,194.0,273.0,229.0,260.0,110.0,149
Expenses,48.0,54.0,124.0,146.0,101.0,140.0,182.0,161.0,207.0,173.0,194.0,129.0,153
Operating Profit,-6.0,-4.0,-2.0,-6.0,-24.0,-16.0,41.0,33.0,67.0,55.0,66.0,-19.0,-4
OPM %,-15.0,-9.0,-2.0,-4.0,-30.0,-13.0,18.0,17.0,24.0,24.0,25.0,-17.0,-3
Other Income,4.0,6.0,2.0,6.0,27.0,21.0,-7.0,1.0,-3.0,-7.0,3.0,-1.0,8
Interest,2.0,3.0,9.0,9.0,11.0,8.0,6.0,6.0,3.0,1.0,1.0,2.0,2
Depreciation,9.0,9.0,14.0,18.0,18.0,15.0,17.0,19.0,20.0,23.0,28.0,22.0,19
Profit before tax,-13.0,-10.0,-23.0,-27.0,-25.0,-18.0,10.0,9.0,41.0,25.0,41.0,-45.0,-17
Tax %,32.0,1.0,-0.0,-0.0,-7.0,-1.0,2.0,1.0,28.0,8.0,5.0,0.0,
Net Profit,-9.0,-10.0,-23.0,-27.0,-27.0,-18.0,10.0,9.0,29.0,23.0,39.0,-44.0,-19
EPS in Rs,-5.9,-6.71,-10.5,-12.1,-12.12,-6.98,2.71,2.39,7.68,5.93,10.19,-11.65,-4.98
