,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,67.0,120.0,150.0,231.0,172.0,224.0,746.0,686.0,518.0,61.0,208.0,177.0,167
Expenses,55.0,116.0,140.0,217.0,160.0,205.0,646.0,609.0,528.0,58.0,174.0,164.0,180
Operating Profit,12.0,3.0,10.0,13.0,12.0,20.0,100.0,77.0,-11.0,3.0,34.0,13.0,-13
OPM %,18.0,3.0,7.0,6.0,7.0,9.0,13.0,11.0,-2.0,5.0,16.0,7.0,-8
Other Income,5.0,3.0,8.0,12.0,8.0,4.0,5.0,7.0,13.0,-27.0,75.0,2.0,9
Interest,4.0,5.0,7.0,11.0,9.0,11.0,30.0,33.0,37.0,20.0,16.0,14.0,12
Depreciation,4.0,5.0,7.0,9.0,9.0,11.0,26.0,30.0,29.0,7.0,5.0,4.0,4
Profit before tax,9.0,-3.0,4.0,6.0,1.0,2.0,49.0,20.0,-64.0,-50.0,88.0,-2.0,-20
Tax %,-5.0,29.0,-26.0,-19.0,48.0,4.0,4.0,13.0,2.0,7.0,-8.0,-286.0,
Net Profit,10.0,-2.0,5.0,7.0,1.0,2.0,47.0,17.0,-63.0,-47.0,96.0,-9.0,-24
EPS in Rs,6.19,-1.27,3.2,4.15,0.42,0.95,17.28,3.16,-15.23,-16.83,34.39,-3.25,-8.62
