,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41
Reserves,-30.44,-29.58,-28.84,3.28,-1.59,-1.29,-1.87,-1.42
Borrowings,1.8,36.32,38.61,2.18,3.51,4.06,4.43,16.3
Other Liabilities,40.97,1.29,1.29,2.72,1.21,4.39,0.3,0.59
Total Liabilities,51.74,47.44,50.47,47.59,42.54,46.57,42.27,54.88
Fixed Assets,0.24,2.02,1.94,0.07,0.06,5.49,5.29,6.95
CWIP,7.41,0.0,0.0,1.84,1.86,1.67,1.67,0.0
Investments,15.4,10.13,10.11,1.28,1.28,1.28,1.28,26.64
Other Assets,28.69,35.29,38.42,44.4,39.34,38.13,34.03,21.29
Total Assets,51.74,47.44,50.47,47.59,42.54,46.57,42.27,54.88
