,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.16,7.20,4.57,0.78,0.18,0.05,0.25,0.16,0.02,0.18,0.02,0.2,0.24
Expenses,0.05,7.14,4.56,0.93,0.20,0.22,0.24,0.21,0.18,0.14,0.15,0.16,0.17
Operating Profit,0.11,0.06,0.01,-0.15,-0.02,-0.17,0.01,-0.05,-0.16,0.04,-0.13,0.04,0.07
OPM %,68.75,0.83,0.22,-19.23,-11.11,-340.00,4.0,-31.25,-800.0,22.22,-650.0,20.0,29.17
Other Income,-0.06,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.0,0.0,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.02,0.0,0.0,0.0,0.0,0.00
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.05,0.06,0.01,-0.15,-0.02,-0.17,0.01,-0.07,-0.16,0.06,-0.13,0.04,0.07
Tax %,20.00,33.33,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,25.0,
Net Profit,0.04,0.04,0.00,-0.15,-0.02,-0.17,0.01,-0.07,-0.16,0.06,-0.13,0.03,0.06
EPS in Rs,,,,,,,0.25,-1.73,-3.95,1.48,-3.21,0.74,1.49
