,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1532.0,1751.0,1931.0,2064.0,2667.0,3416.0,3851.0,3471.0,3264.0,4141.0,5128.0,5260
Expenses,1495.0,1699.0,1874.0,2012.0,2590.0,3296.0,3700.0,3313.0,3129.0,3956.0,4868.0,5013
Operating Profit,37.0,51.0,57.0,52.0,76.0,120.0,152.0,158.0,135.0,184.0,260.0,247
OPM %,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5
Other Income,3.0,6.0,9.0,13.0,10.0,6.0,7.0,14.0,14.0,13.0,16.0,22
Interest,1.0,0.0,0.0,1.0,3.0,4.0,3.0,18.0,20.0,30.0,52.0,66
Depreciation,3.0,3.0,6.0,8.0,15.0,20.0,22.0,73.0,90.0,142.0,190.0,211
Profit before tax,36.0,54.0,59.0,56.0,68.0,102.0,133.0,81.0,39.0,26.0,35.0,-9
Tax %,32.0,33.0,35.0,36.0,32.0,36.0,35.0,32.0,26.0,43.0,21.0,
Net Profit,24.0,37.0,39.0,36.0,46.0,65.0,86.0,55.0,29.0,15.0,25.0,-24
EPS in Rs,4.23,6.2,6.47,6.05,6.71,9.0,11.99,7.71,4.19,2.44,3.65,-3.32
