,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.88,11.18,11.74,2.38,0.45,0.00,-0.02,0.00,0.00,0.00,0.00,1.01,0.0
Expenses,8.6,10.84,11.54,2.6,0.52,0.09,0.07,0.09,0.08,0.06,0.11,1.09,0.1
Operating Profit,0.28,0.34,0.2,-0.22,-0.07,-0.09,-0.09,-0.09,-0.08,-0.06,-0.11,-0.08,-0.1
OPM %,3.15,3.04,1.7,-9.24,-15.56,,,,,,,-7.92,
Other Income,-0.15,-0.28,0.01,0.03,0.0,0.07,0.00,0.00,0.02,0.00,0.02,0.0,0.0
Interest,0.01,0.01,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0
Depreciation,0.04,0.03,0.03,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0
Profit before tax,0.08,0.02,0.18,-0.23,-0.08,-0.02,-0.09,-0.09,-0.06,-0.06,-0.09,-0.08,-0.1
Tax %,12.5,0.0,22.22,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.0,
Net Profit,0.06,0.01,0.14,-0.23,-0.08,-0.02,-0.09,-0.09,-0.06,-0.06,-0.09,-0.08,-0.1
EPS in Rs,0.14,0.02,0.33,-0.54,-0.19,-0.05,-0.21,-0.21,-0.14,-0.14,-0.21,-0.19,-0.23
