,2008-03-01,2009-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.7,17.4,73.61,73.61,73.61,73.61,73.61,73.61
Reserves,114.56,136.58,,,-647.5,-654.23,-659.84,-663.45
Preference Capital,2.0,0.0,,,0.0,0.0,0.0,
Borrowings,193.25,158.79,,,898.45,899.07,899.07,899.07
Other Liabilities,72.96,75.5,,,38.59,34.81,33.93,33.28
Total Liabilities,389.47,388.27,,,363.15,353.26,346.77,342.51
Fixed Assets,131.37,146.63,,,90.27,82.41,75.92,73.07
CWIP,0.0,0.0,,,0.0,0.0,0.0,0.0
Investments,2.76,2.96,,,0.01,0.01,0.01,0.01
Other Assets,255.34,238.68,,,272.87,270.84,270.84,269.43
Total Assets,389.47,388.27,,,363.15,353.26,346.77,342.51
