,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,5,5
Reserves,52,43,35,33,37,54,72,91,106,116
Borrowings,0,0,2,5,5,3,2,1,0,0
Other Liabilities,14,11,15,12,10,12,23,20,22,25
Total Liabilities,70,58,56,55,58,74,102,117,133,146
Fixed Assets,4,3,7,3,3,3,3,3,4,25
CWIP,0,0,1,2,0,0,6,12,19,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,66,56,48,50,55,72,93,101,109,121
Total Assets,70,58,56,55,58,74,102,117,133,146
