,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.0,10.0,8.0,6.0,5.0,38.0,60.0,75.0,99.0,105.0,148.0,198.0,236
Expenses,22.0,17.0,14.0,8.0,14.0,37.0,66.0,91.0,114.0,98.0,125.0,172.0,203
Operating Profit,-7.0,-7.0,-7.0,-2.0,-9.0,0.0,-5.0,-16.0,-15.0,7.0,23.0,26.0,33
OPM %,-43.0,-69.0,-88.0,-37.0,-165.0,0.0,-9.0,-21.0,-15.0,7.0,15.0,13.0,14
Other Income,-3.0,-6.0,-1.0,0.0,0.0,3.0,0.0,2.0,-16.0,2.0,5.0,5.0,3
Interest,2.0,1.0,2.0,2.0,3.0,2.0,5.0,5.0,6.0,9.0,9.0,8.0,6
Depreciation,2.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,9.0,9.0,13.0,17.0,19
Profit before tax,-13.0,-14.0,-10.0,-5.0,-12.0,1.0,-13.0,-28.0,-46.0,-9.0,6.0,6.0,11
Tax %,0.0,0.0,0.0,0.0,0.0,9.0,-0.0,-3.0,1.0,-1.0,0.0,1.0,
Net Profit,-13.0,-14.0,-10.0,-5.0,-12.0,1.0,-13.0,-29.0,-46.0,-9.0,6.0,6.0,10
EPS in Rs,-2.83,-3.13,-2.13,-1.01,-2.59,0.09,-0.96,-1.96,-2.91,-0.58,0.4,0.37,0.58
