,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,184.0,213.0,278.0,312.0,391.0,530.0,461.0,520
Expenses,166.0,191.0,213.0,213.0,218.0,316.0,332.0,374
Operating Profit,17.0,22.0,65.0,98.0,173.0,214.0,129.0,145
OPM %,9.0,10.0,23.0,32.0,44.0,40.0,28.0,28
Other Income,7.0,9.0,8.0,11.0,5.0,8.0,9.0,10
Interest,12.0,11.0,10.0,7.0,4.0,4.0,3.0,3
Depreciation,5.0,5.0,5.0,6.0,7.0,10.0,12.0,14
Profit before tax,8.0,14.0,57.0,96.0,167.0,207.0,123.0,138
Tax %,30.0,40.0,31.0,24.0,26.0,27.0,27.0,
Net Profit,6.0,9.0,39.0,73.0,124.0,152.0,90.0,100
EPS in Rs,3.87,5.96,26.93,50.11,16.89,18.86,11.17,12.44
