,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales,206.70,124.04,211.34,78.73,91.85,57.98,91.24,100.73,-56.94,33.15,25.25,0.00,0.0
Expenses,179.14,101.27,184.66,59.62,61.15,53.55,87.22,79.3,-38.09,36.17,62.23,1.63,1.09
Operating Profit,27.56,22.77,26.68,19.11,30.7,4.43,4.02,21.43,-18.85,-3.02,-36.98,-1.63,-1.09
OPM %,13.33,18.36,12.62,24.27,33.42,7.64,4.41,21.27,,-9.11,-146.46,,
Other Income,16.91,15.46,11.25,18.5,1.71,13.74,9.78,12.62,7.31,3.14,125.07,0.00,0.0
Interest,29.50,28.71,26.5,29.87,23.63,15.14,11.82,24.47,27.54,0.14,70.6,0.16,0.0
Depreciation,0.90,0.88,0.49,0.23,0.18,0.33,0.12,0.07,0.12,0.22,0.15,0.07,0.06
Profit before tax,14.07,8.64,10.94,7.51,8.6,2.7,1.86,9.51,-39.20,-0.24,17.34,-1.86,-1.15
Tax %,39.09,48.26,64.35,32.76,53.49,50.74,-138.17,31.86,-24.57,0.0,0.0,0.00,
Net Profit,8.57,4.47,3.9,5.05,4.0,1.32,4.42,6.48,-48.83,-0.24,17.35,-1.86,-1.16
EPS in Rs,,0.28,0.24,0.31,0.25,0.07,0.25,0.36,-2.74,-0.01,0.97,-0.10,-0.06
