,2009-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,46,117,137,143,143,165,244,311,311.0
Reserves,1300,680,307,-30,-240,33,266,163,71.0
Preference Capital,0,0,0,0,0,74,91,37,
Borrowings,2142,3297,4099,3187,2237,1962,1811,1902,2022.0
Other Liabilities,835,1238,1574,1671,1072,1072,1111,1059,977.0
Total Liabilities,4322,5333,6117,4970,3212,3232,3433,3435,3381.0
Fixed Assets,1874,2544,2890,2772,2167,2081,2005,1736,1726.0
CWIP,865,730,790,800,31,33,49,65,53.0
Investments,49,71,720,82,70,77,74,82,82.0
Other Assets,1534,1988,1717,1317,944,1041,1305,1551,1520.0
Total Assets,4322,5333,6117,4970,3212,3232,3433,3435,3381.0
