,Mar 2009,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3882.0,3842.0,3873.0,2904.0,2646.0,2653.0,3606.0,3778.0,3994
Expenses,3319.0,3844.0,3943.0,2872.0,2417.0,2278.0,3094.0,3507.0,3633
Operating Profit,562.0,-3.0,-70.0,32.0,229.0,375.0,512.0,271.0,362
OPM %,14.0,-0.0,-2.0,1.0,9.0,14.0,14.0,7.0,9
Other Income,80.0,172.0,79.0,57.0,40.0,-148.0,14.0,-103.0,-125
Interest,121.0,283.0,443.0,357.0,344.0,276.0,502.0,450.0,465
Depreciation,112.0,136.0,146.0,108.0,113.0,118.0,112.0,103.0,114
Profit before tax,409.0,-250.0,-580.0,-375.0,-188.0,-167.0,-87.0,-385.0,-342
Tax %,7.0,3.0,0.0,3.0,0.0,184.0,11.0,50.0,
Net Profit,379.0,-242.0,-578.0,-363.0,-188.0,140.0,-77.0,-194.0,-165
EPS in Rs,23.23,-13.9,-28.31,-17.15,-8.85,5.72,-3.18,-6.25,-5.30
