,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.0,56.0,79.0,88.0,96.0,100.0,114.0,153.0,152.0,258.0,319.0,275.0,293
Expenses,32.0,48.0,68.0,73.0,74.0,74.0,92.0,121.0,129.0,181.0,253.0,246.0,252
Operating Profit,4.0,8.0,11.0,15.0,22.0,25.0,22.0,32.0,23.0,77.0,66.0,29.0,40
OPM %,11.0,14.0,14.0,17.0,23.0,26.0,19.0,21.0,15.0,30.0,21.0,10.0,14
Other Income,0.0,0.0,-1.0,2.0,0.0,1.0,3.0,4.0,1.0,9.0,13.0,8.0,12
Interest,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1
Depreciation,1.0,2.0,2.0,3.0,3.0,3.0,5.0,6.0,7.0,7.0,8.0,8.0,8
Profit before tax,2.0,4.0,7.0,13.0,18.0,23.0,18.0,28.0,14.0,76.0,69.0,27.0,43
Tax %,32.0,35.0,32.0,35.0,36.0,35.0,29.0,27.0,26.0,27.0,24.0,24.0,
Net Profit,1.0,3.0,5.0,8.0,11.0,15.0,13.0,20.0,11.0,55.0,52.0,20.0,33
EPS in Rs,1.7,4.71,7.33,13.48,18.45,24.1,20.38,32.58,17.16,89.79,84.57,32.57,54.07
