,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,2.0,2.25,2.9,2.9,3.97,11.92,14.92,14.92,14.92,14.92,14.92,14.92
Reserves,0.26,1.12,1.63,3.98,8.59,2.6,13.68,14.72,15.49,10.11,-26.37,-27.42
Borrowings,6.06,11.54,11.84,13.0,13.58,15.6,26.12,31.77,30.72,27.73,27.43,32.51
Other Liabilities,6.86,8.39,14.24,12.25,17.62,25.35,37.71,27.87,31.6,26.55,17.96,14.54
Total Liabilities,15.18,23.3,30.61,32.13,43.76,55.47,92.43,89.28,92.73,79.31,33.94,34.55
Fixed Assets,6.53,9.31,10.21,10.06,11.01,11.93,13.68,16.11,12.79,12.53,11.01,10.48
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.01,0.01,0.01,0.01,1.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,8.65,13.98,20.39,22.06,32.74,42.53,78.74,73.16,79.93,66.77,22.92,24.06
Total Assets,15.18,23.3,30.61,32.13,43.76,55.47,92.43,89.28,92.73,79.31,33.94,34.55
