,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1317.0,1440.0,2517.0,1484.0,1690.0,1889.0,1639.0,1660.0,1954.0,1876.0,1908.0,1429.0,1896.0
Expenses,1429.0,1366.0,1826.0,1419.0,1708.0,1837.0,1906.0,1587.0,1917.0,1741.0,1658.0,1351.0,1806.0
Operating Profit,-112.0,74.0,692.0,65.0,-18.0,51.0,-267.0,73.0,37.0,136.0,250.0,78.0,90.0
OPM %,-9.0,5.0,27.0,4.0,-1.0,3.0,-16.0,4.0,2.0,7.0,13.0,5.0,5.0
Other Income,45.0,10.0,143.0,16.0,113.0,35.0,72.0,-43.0,71.0,-53.0,-308.0,68.0,15.0
Interest,237.0,247.0,259.0,239.0,261.0,288.0,247.0,286.0,313.0,281.0,174.0,226.0,253.0
Depreciation,146.0,145.0,137.0,134.0,143.0,134.0,110.0,100.0,145.0,101.0,77.0,97.0,96.0
Profit before tax,-449.0,-308.0,439.0,-291.0,-309.0,-336.0,-552.0,-356.0,-349.0,-299.0,-309.0,-176.0,-245.0
Tax %,-1.0,2.0,3.0,-1.0,-1.0,-4.0,1.0,-7.0,3.0,-5.0,-2.0,-4.0,-1.0
Net Profit,-453.0,-302.0,424.0,-293.0,-311.0,-348.0,-546.0,-381.0,-340.0,-315.0,-316.0,-183.0,-248.0
EPS in Rs,-1.88,-1.23,1.74,-1.18,-1.24,-1.4,-2.2,-1.53,-1.36,-1.26,-1.31,-0.74,-1.0
