,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,68.0,75.0,92.0,116.0,113.0,112.0,148.0,197.0,177.0,190.0,235.0,243.0,243
Expenses,62.0,69.0,87.0,111.0,108.0,104.0,136.0,180.0,161.0,175.0,219.0,224.0,223
Operating Profit,6.0,5.0,5.0,5.0,4.0,8.0,12.0,17.0,16.0,15.0,15.0,19.0,20
OPM %,8.0,7.0,5.0,4.0,4.0,7.0,8.0,9.0,9.0,8.0,6.0,8.0,8
Other Income,0.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,-0
Interest,3.0,3.0,2.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,5
Depreciation,2.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,5
Profit before tax,1.0,1.0,1.0,1.0,2.0,6.0,7.0,11.0,9.0,8.0,7.0,10.0,11
Tax %,11.0,22.0,20.0,37.0,36.0,24.0,21.0,23.0,22.0,22.0,28.0,24.0,
Net Profit,1.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,7.0,6.0,5.0,7.0,8
EPS in Rs,0.87,0.75,0.81,0.65,1.36,4.44,5.49,8.51,6.97,6.09,5.07,7.67,8.68
