,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,469.0,525.0,533.0,714.0,749.0,772.0,1013.0,1189.0,957.0,849.0,1078.0,1401.0,1416
Expenses,423.0,478.0,479.0,641.0,671.0,687.0,905.0,1042.0,851.0,765.0,965.0,1247.0,1257
Operating Profit,46.0,46.0,53.0,73.0,78.0,85.0,108.0,146.0,106.0,83.0,113.0,154.0,159
OPM %,10.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,11
Other Income,5.0,7.0,4.0,2.0,3.0,4.0,9.0,3.0,3.0,3.0,3.0,3.0,4
Interest,13.0,11.0,11.0,20.0,22.0,26.0,30.0,35.0,39.0,36.0,30.0,31.0,36
Depreciation,17.0,20.0,21.0,26.0,27.0,27.0,32.0,38.0,44.0,49.0,53.0,64.0,70
Profit before tax,20.0,22.0,25.0,29.0,32.0,35.0,56.0,76.0,25.0,1.0,33.0,62.0,57
Tax %,29.0,23.0,24.0,32.0,31.0,30.0,30.0,31.0,33.0,279.0,26.0,17.0,
Net Profit,14.0,17.0,19.0,20.0,22.0,25.0,39.0,53.0,17.0,-2.0,24.0,51.0,49
EPS in Rs,13.11,15.35,17.42,18.04,18.12,20.14,28.94,38.82,12.36,-1.39,15.01,31.91,30.61
