,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.0,20.0,24.0,30.0,42.0,45.0,52.0,42.0,31.0,67.0,174.0,209
Expenses,10.0,15.0,16.0,22.0,26.0,31.0,34.0,38.0,34.0,70.0,162.0,179
Operating Profit,3.0,5.0,8.0,8.0,16.0,14.0,18.0,3.0,-2.0,-3.0,12.0,30
OPM %,25.0,24.0,34.0,27.0,38.0,31.0,34.0,8.0,-7.0,-4.0,7.0,15
Other Income,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,4
Interest,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,6
Depreciation,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,6
Profit before tax,2.0,4.0,7.0,8.0,12.0,9.0,15.0,0.0,-5.0,-4.0,8.0,22
Tax %,8.0,27.0,36.0,32.0,10.0,16.0,18.0,-367.0,-12.0,-15.0,5.0,
Net Profit,2.0,3.0,5.0,6.0,11.0,7.0,12.0,0.0,-5.0,-5.0,7.0,22
EPS in Rs,20.27,27.49,43.31,51.09,20.27,9.86,16.55,0.4,-7.16,-6.06,6.25,18.30
