,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.5,1.06,1.73,1.56,1.15,0.58,0.48,0.57,1.25,2.17,2.9,2.21,1.60
Expenses,3.43,1.29,1.86,1.48,1.01,0.39,0.44,0.38,1.15,1.89,2.52,2.0,1.58
Operating Profit,0.07,-0.23,-0.13,0.08,0.14,0.19,0.04,0.19,0.1,0.28,0.38,0.21,0.02
OPM %,2.0,-21.7,-7.51,5.13,12.17,32.76,8.33,33.33,8.0,12.9,13.1,9.5,1.25
Other Income,-0.06,0.03,0.02,0.09,0.08,0.01,0.01,0.02,0.02,0.02,0.01,2.36,2.36
Interest,0.01,0.29,0.22,0.03,0.01,0.01,0.0,0.0,0.01,0.07,0.05,0.05,0.04
Depreciation,0.13,0.12,0.13,0.07,0.07,0.06,0.06,0.05,0.06,0.07,0.07,0.07,0.07
Profit before tax,-0.13,-0.61,-0.46,0.07,0.14,0.13,-0.01,0.16,0.05,0.16,0.27,2.45,2.27
Tax %,15.38,3.28,6.52,-28.57,14.29,15.38,100.0,12.5,0.0,81.25,81.48,24.08,
Net Profit,-0.11,-0.59,-0.44,0.09,0.12,0.11,0.0,0.14,0.05,0.03,0.06,1.87,1.75
EPS in Rs,-0.24,-1.31,-0.97,0.2,0.27,0.24,0.0,0.31,0.11,0.07,0.13,4.14,3.88
