,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,179.88,221.89,211.89,158.0,195.4,217.85,283.49,258.34,154.35,55.89,110.18,69.99
Expenses,167.72,210.54,189.39,155.0,182.79,206.99,266.67,250.38,194.77,83.09,113.96,68.71
Operating Profit,12.16,11.35,22.5,3.0,12.61,10.86,16.82,7.96,-40.42,-27.2,-3.78,1.28
OPM %,6.76,5.12,10.62,1.9,6.45,4.99,5.93,3.08,-26.19,-48.67,-3.43,1.83
Other Income,1.31,3.06,1.19,1.47,0.77,6.16,2.43,2.11,1.47,1.01,0.3,0.54
Interest,2.68,5.21,5.51,6.59,6.96,6.22,6.9,8.04,3.36,0.61,0.79,0.02
Depreciation,0.64,0.76,0.78,0.65,0.81,1.07,2.03,1.97,1.39,1.52,1.36,1.25
Profit before tax,10.15,8.44,17.4,-2.77,5.61,9.73,10.32,0.06,-43.7,-28.32,-5.63,0.55
Tax %,37.24,32.94,32.82,-67.51,44.74,26.31,31.59,-100.0,-0.66,-0.92,-8.7,83.64
Net Profit,6.37,5.66,11.69,-4.64,3.1,7.13,7.06,0.13,-43.99,-28.58,-6.12,0.09
EPS in Rs,0.51,0.36,0.68,-0.07,0.31,0.57,0.56,0.01,-3.5,-2.27,-0.49,0.01
