,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57
Reserves,87.5,93.43,102.28,97.7,101.65,107.7,114.17,114.33,71.5,42.99,36.87,36.95
Borrowings,24.1,30.58,33.97,40.1,28.47,37.34,37.7,42.7,72.35,77.75,79.37,78.54
Other Liabilities,70.77,43.33,51.41,84.7,90.72,103.79,80.48,87.19,52.05,48.93,78.26,78.7
Total Liabilities,194.94,179.91,200.23,235.07,233.41,261.4,244.92,256.79,208.47,182.24,207.07,206.76
Fixed Assets,5.8,4.64,4.01,3.5,9.41,17.37,17.82,14.06,31.61,32.23,30.88,29.63
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.19,2.16,0.0,0.0,0.0
Investments,4.06,5.82,4.75,10.92,11.23,2.36,0.6900000000000001,0.97,1.06,0.46,0.47,0.47
Other Assets,185.08,169.45,191.47,220.65,212.77,241.67,225.74,240.57,173.64,149.55,175.72,176.66
Total Assets,194.94,179.91,200.23,235.07,233.41,261.4,244.92,256.79,208.47,182.24,207.07,206.76
