,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,97.0,124.0,183.0,195.0,202.0,214.0,244.0,97.0,83.0,115.0,135
Expenses,74.0,101.0,156.0,167.0,166.0,177.0,215.0,87.0,76.0,112.0,132
Operating Profit,24.0,23.0,27.0,28.0,36.0,36.0,29.0,10.0,7.0,3.0,3
OPM %,24.0,18.0,15.0,14.0,18.0,17.0,12.0,10.0,9.0,2.0,2
Other Income,4.0,7.0,12.0,6.0,6.0,7.0,11.0,9.0,11.0,12.0,13
Interest,8.0,10.0,15.0,9.0,11.0,13.0,17.0,16.0,15.0,11.0,10
Depreciation,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
Profit before tax,18.0,19.0,23.0,23.0,29.0,28.0,21.0,1.0,2.0,2.0,5
Tax %,35.0,36.0,38.0,36.0,31.0,29.0,22.0,41.0,32.0,37.0,
Net Profit,12.0,12.0,14.0,15.0,20.0,20.0,16.0,-1.0,-2.0,-0.0,3
EPS in Rs,0.4,0.32,0.38,0.38,0.51,0.51,0.42,-0.02,-0.05,-0.01,0.07
