,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,39.67,39.47,44.06,38.37,36.76,39.56,35.61,37.53,30.02,27.61,30.55,26.22,23.14
Expenses,36.28,36.29,40.14,34.68,33.56,36.47,33.38,34.38,27.93,24.54,27.25,23.16,20.64
Operating Profit,3.39,3.18,3.92,3.69,3.2,3.09,2.23,3.15,2.09,3.07,3.3,3.06,2.50
OPM %,8.55,8.06,8.9,9.62,8.71,7.81,6.26,8.39,6.96,11.12,10.8,11.67,10.80
Other Income,0.06,0.05,0.04,0.23,0.08,0.04,0.55,0.05,-1.69,0.04,0.08,0.03,0.02
Interest,1.55,1.85,2.49,2.37,1.91,1.81,1.4,2.0,2.17,2.2,2.21,1.86,1.86
Depreciation,1.47,1.23,1.09,1.21,0.98,0.98,1.01,1.0,1.05,1.2,1.26,1.08,1.03
Profit before tax,0.43,0.15,0.38,0.34,0.39,0.34,0.37,0.2,-2.82,-0.29,-0.09,0.15,-0.37
Tax %,30.23,40.0,31.58,32.35,30.77,29.41,18.92,25.0,-2.13,-3.45,-22.22,53.33,
Net Profit,0.3,0.09,0.27,0.25,0.27,0.24,0.3,0.15,-2.88,-0.3,-0.1,0.06,-0.42
EPS in Rs,0.61,0.18,0.55,0.51,0.55,0.49,0.61,0.31,-5.88,-0.61,-0.2,0.12,-0.86
