,Dec 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.54,14.02,17.33,16.4,15.15,15.43,13.6,10.54,10.97,9.66,10.06,12.06,14.01
Expenses,9.26,15.44,19.84,18.21,14.86,15.36,13.39,10.28,9.45,7.31,7.68,9.66,11.61
Operating Profit,1.28,-1.42,-2.51,-1.81,0.29,0.07,0.21,0.26,1.52,2.35,2.38,2.4,2.40
OPM %,12.14,-10.13,-14.48,-11.04,1.91,0.45,1.54,2.47,13.86,24.33,23.66,19.9,17.13
Other Income,0.99,1.56,1.01,0.57,1.12,1.01,4.18,0.96,1.24,1.72,1.35,3.9,1.91
Interest,0.0,0.0,0.16,0.41,0.61,0.62,0.25,0.0,0.72,0.12,0.09,0.16,0.16
Depreciation,0.28,0.5,0.97,1.01,0.97,0.85,1.07,0.53,0.55,0.62,0.62,0.6,0.66
Profit before tax,1.99,-0.36,-2.63,-2.66,-0.17,-0.39,3.07,0.69,1.49,3.33,3.02,5.54,3.49
Tax %,40.2,-213.89,-16.73,6.77,-258.82,-151.28,22.8,75.36,55.03,22.52,28.81,17.51,
Net Profit,-9.24,4.0,-49.52,-155.79,-275.64,-145.56,2.38,0.18,0.67,2.57,2.15,4.57,2.58
EPS in Rs,-7.4,3.91,-39.11,-124.12,-219.94,-116.15,1.9,0.14,0.53,2.04,1.71,3.63,2.05
