,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79,16.79
Reserves,38.21,38.85,38.32,48.01,299.44,300.56,313.65,321.16,321.05,322.44,327.02,328.06
Preference Capital,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Borrowings,73.47,69.63,64.8,95.45,90.37,87.95,86.22,75.45,103.63,94.95,85.69,80.7
Other Liabilities,44.54,35.67,36.18,37.64,64.51,56.37,37.22,38.14,34.77,37.73,39.44,43.65
Total Liabilities,173.01,160.94,156.09,197.89,471.11,461.67,453.88,451.54,476.24,471.91,468.94,469.2
Fixed Assets,40.95,38.53,35.64,34.91,292.01,288.47,287.25,283.91,280.27,277.69,274.07,272.25
CWIP,4.61,4.61,4.61,4.61,4.61,4.61,0.0,0.0,1.33,0.0,0.0,0.0
Investments,23.79,23.79,23.79,8.05,23.79,23.79,6.14,6.14,6.14,6.14,6.14,6.14
Other Assets,103.66,94.01,92.05,150.32,150.7,144.8,160.49,161.49,188.5,188.08,188.73,190.81
Total Assets,173.01,160.94,156.09,197.89,471.11,461.67,453.88,451.54,476.24,471.91,468.94,469.2
